map,record,member,date
CTF-BT-FuriousTemple-2b,48.354,Dylanbro,2017-11-08
CTF-BT-FusedRuins,03:36.786,Nightwolf`,2021-09-03
CTF-BT-Fusie-fix2,01:19.394,p-a-w-e-l,2021-07-22
CTF-BT-FutureRunner_dbl,02:41.236,Nightwolf`,2022-04-02
CTF-BT-FuZioN-FIX2,01:37.626,Nightwolf`,2013-01-06
CTF-BT-GalvanizeEZv2,02:48.400,artur509,2024-02-07
CTF-BT-Galvanizev2,03:04.108,specialone*,2022-03-01
CTF-BT-GameWorldV5,03:49.274,~DarK~JoJo~,2024-01-29
CTF-BT-GangstasInDaHood,27.295,~DarK~JoJo~,2025-04-21
CTF-BT-Gaol-v2,02:04.904,}ElitE{Bon,2021-07-08
CTF-BT-Gardener,46.358,Dylanbro,2022-11-30
CTF-BT-GearsOfWar_dbl,02:07.267,Nightwolf`,2022-03-21
CTF-BT-GeayelanV5,01:47.973,BlueBalls,2022-02-13
CTF-BT-GeneralRush-v3,01:28.796,Nightwolf`,2022-04-08
CTF-BT-GeometricArchitecture-VF,01:06.041,fierd_1,2015-01-04
CTF-BT-GG-Effigyv2,20.659,BlueBalls,2021-02-22
CTF-BT-GG-HorusV4,17.065,TDN-Berserker,2023-04-25
CTF-BT-GG-RetroHook-v2,15.387,*WeeDy*,2021-02-23
CTF-BT-GG-RookV4,25.712,TDN-Berserker,2023-04-28
CTF-BT-GiantCanyon,18.465,Nightwolf`,2022-03-08
CTF-BT-Gizmo-v2,01:01.815,~DarK~JoJo~,2026-03-11
CTF-BT-GLC-fix,24.751,BlueBalls,2022-03-05
CTF-BT-Glyceryl,01:50.617,OwYeaW,2016-10-30
CTF-BT-Go-vLO,27.116,Dylanbro,2022-03-10
CTF-BT-GoldenEye,15.791,~DarK~JoJo~,2024-02-04
CTF-BT-GoldenSpit,01:08.689,Nightwolf`,2012-08-23
CTF-BT-Gonin30,34.456,}ElitE{HellFire`,2017-11-09
CTF-BT-GothikConvent-v3,02:15.462,fierd_6,2017-08-10
CTF-BT-GrandCanyon-v3,01:37.396,~DarK~JoJo~,2026-01-25
CTF-BT-Grapecaek-v2,12.163,Nightwolf`,2022-10-21
CTF-BT-Graspv3,53.962,~DarK~JoJo~,2026-03-18
CTF-BT-GraveDigger,41.900,}ElitE{HellFire`,2019-09-01
CTF-BT-GraveMorden,12.512,BlueBalls,2022-02-13
CTF-BT-GravitronBL_fix2,02:16.107,Nightwolf`,2022-04-07
CTF-BT-GreatGetaway_i4g,01:27.278,Dylanbro,2011-11-19
CTF-BT-GREENY-REloadED,01:55.633,Nightwolf`,2014-01-21
CTF-BT-GREENY-v0,01:08.775,Nightwolf`,2013-10-18
CTF-BT-Grim-Redux,01:22.183,Nightwolf`,2022-03-12
CTF-BT-Grim-v2,01:15.014,}ElitE{Bon,2021-12-16
CTF-BT-Grinder-fix,19.022,Nightwolf`,2017-11-22
CTF-BT-GSW-v2,01:09.667,Dylanbro,2017-10-08
CTF-BT-Guardia-dbl,44.714,Dylanbro,2016-04-30
CTF-BT-GumiGyar-fix,01:20.477,Nightwolf`,2014-10-29
CTF-BT-Gust,28.512,Nightwolf`,2014-01-16
CTF-BT-Halcyon-v3,02:20.590,}ElitE{Bon,2017-12-10
CTF-BT-HallOfFame-v4,01:36.237,Nightwolf`,2017-06-19
CTF-BT-HalloweenShmalloween,01:18.466,BlueBalls,2022-02-02
CTF-BT-HallsOfTime,01:37.225,fierd_3,2011-10-27
CTF-BT-HammerizeV3,01:33.359,~DarK~JoJo~,2026-03-05
CTF-BT-HamzaCTTT-dbl2,36.389,~DarK~JoJo~,2024-03-22
CTF-BT-Hanima_dbl,49.118,Marmolak,2022-04-24
CTF-BT-HappyNewYear2016,23.204,Dylanbro,2016-01-30
CTF-BT-HardAsNailsv2,01:25.516,p-a-w-e-l,2021-09-07
CTF-BT-HArDD0ts-dbl,22.269,~DarK~JoJo~,2026-01-06
CTF-BT-HardwareCB,01:01.890,Marmolak,2024-08-17
CTF-BT-Haryuu-No,01:51.544,}ElitE{Bon,2021-09-05
CTF-BT-Haste,01:05.454,fierd_1,2014-09-12
CTF-BT-HatefullDodges,08.771,Nightwolf`,2016-01-07
CTF-BT-HathorV2,12.472,Dylanbro,2022-03-11
CTF-BT-HauntedGrave-v3,58.924,Nightwolf`,2012-10-10
CTF-BT-Haunting,01:35.577,Dylanbro,2012-09-24
CTF-BT-HauxV3,02:29.469,TDN-Berserker,2019-12-05
CTF-BT-HD-dbl2,32.832,Dylanbro,2022-03-16
CTF-BT-HDMIv2,24.498,Nightwolf`,2022-03-08
CTF-BT-Heartcollector,01:05.939,TDN-Berserker,2020-01-20
CTF-BT-HeavenV2,01:31.297,}ElitE{Bon,2021-11-07
CTF-BT-Heh-dbl,01:35.302,Nightwolf`,2022-04-17
CTF-BT-HellFacility,40.496,Nightwolf`,2022-10-20
CTF-BT-Hells-Chamber,01:33.168,Dylanbro,2012-09-18
CTF-BT-HellsSpook,01:08.823,}ElitE{Mike`,2013-06-05
CTF-BT-Hemortals-house-v3,01:39.421,Nightwolf`,2022-04-10
CTF-BT-HeroesRoadv2b,01:30.627,Dylanbro,2012-03-05
CTF-BT-HexagonsV2,01:20.860,~DarK~JoJo~,2025-10-27
CTF-BT-HighFall-v2,04:15.548,}ElitE{Bon,2009-04-04
CTF-BT-HighQuality-v3,01:00.445,~DarK~JoJo~,2026-01-23
CTF-BT-HighVoltage,15.464,Nightwolf`,2017-12-11
CTF-BT-HillTop-fix3,01:04.898,Dylanbro,2017-08-15
CTF-BT-HillValley_dbl,01:04.602,Nightwolf`,2017-11-20
CTF-BT-HoerenJungle,37.358,Nightwolf`,2012-09-25
CTF-BT-Holidays,25.522,}ElitE{HellFire`,2020-08-07
CTF-BT-HomerSimpson-fix,28.194,}ElitE{HellFire`,2016-10-30
CTF-BT-HourRushNWV2,14.861,*WeeDy*,2020-02-11
CTF-BT-House-of-Slime-[z1]-,22.017,}ElitE{Bon,2022-01-14
CTF-BT-HowFastAmI,18.629,Nightwolf`,2021-05-29
CTF-BT-HowFastAmIv2,24.788,Dylanbro,2022-03-09
CTF-BT-HumaK,01:29.859,OwYeaW,2017-02-27
CTF-BT-Hummingbird[v2],01:22.767,Nightwolf`,2022-04-01
CTF-BT-HurryUp-v2,47.438,Nightwolf`,2022-04-02
CTF-BT-Huskus'sAmazingRush-dbl,01:52.004,~DarK~JoJo~,2026-01-20
CTF-BT-Hydro16-dbl,50.129,~DarK~JoJo~,2026-01-20
CTF-BT-HydroPlant_fix2,02:16.644,}ElitE{Bon,2012-02-12
CTF-BT-HydroponicsV4,01:17.591,Nightwolf`,2021-08-11
CTF-BT-I-got-the-flag-v2,29.833,Dylanbro,2017-11-12
CTF-BT-I4Games_v2,01:16.236,Dylanbro,2021-10-23
CTF-BT-Ibarra-v2,52.550,Dylanbro,2021-08-01
CTF-BT-Ice-ClimbV2,24.719,~DarK~JoJo~,2026-05-16
CTF-BT-Ice-Monsters-v2,01:03.852,}ElitE{Bon,2013-05-26
CTF-BT-Ice_base_fix_v2,33.834,Nightwolf`,2013-12-18
CTF-BT-Ice_fix_vf,31.211,Dylanbro,2012-07-13
CTF-BT-Icecaek-fix,32.750,~DarK~JoJo~,2025-03-17
CTF-BT-IceCavern,03:10.994,Nightwolf`,2022-03-18
CTF-BT-IceFacility,30.254,Nightwolf`,2016-11-11
CTF-BT-IceFortress-i4g,02:16.012,~DarK~JoJo~,2026-01-25
CTF-BT-IceRace(Road1)_dbl,34.504,Mave,2012-12-17
CTF-BT-IceRace(Road2)_dbl,25.425,Nightwolf`,2017-01-02
CTF-BT-IceRun,01:21.208,~DarK~JoJo~,2026-03-08
CTF-BT-IdomaV2,01:28.309,BlueBalls,2022-02-13
CTF-BT-Ill,02:16.393,~DarK~JoJo~,2025-05-09
CTF-BT-iLLNeSs,01:17.677,Dylanbro,2013-12-10
CTF-BT-Illusion-fix,01:22.228,Nightwolf`,2022-04-02
CTF-BT-IllusionNaRy_Fun-v3,01:08.976,Nightwolf`,2022-04-26
CTF-BT-Imation-v3,14.295,Nightwolf`,2022-03-14
CTF-BT-Immanis,24.242,Nightwolf`,2013-06-05
CTF-BT-Immediately-v2,01:40.008,Nightwolf`,2014-05-22
CTF-BT-Implication,01:52.789,Dylanbro,2023-01-24
CTF-BT-Impossible_v2,09:28.109,fierd_retired,2011-10-11
CTF-BT-Impossible_VH-vF,05:08.597,}ElitE{Bon,2017-12-20
CTF-BT-Impulse-dbl,01:43.170,Dylanbro,2015-03-01
CTF-BT-Impulse][-dbl,01:04.397,Nightwolf`,2016-01-02
CTF-BT-Inanis,32.094,Nightwolf`,2014-10-05
CTF-BT-Inbound_v2f,57.967,}ElitE{HellFire`,2021-10-10
CTF-BT-Incinerated,43.786,}ElitE{Bon,2021-09-06
CTF-BT-Indignation,57.712,}ElitE{Bon,2017-12-28
CTF-BT-IndustrialCheeses,42.717,}ElitE{Mike`,2022-08-24
CTF-BT-IndustriousV3,46.132,~DarK~JoJo~,2024-03-28
CTF-BT-Inevitable,43.326,Dylanbro,2022-01-14
CTF-BT-InfuriateCB,01:42.281,Nightwolf`,2012-11-11
CTF-BT-InLoveWithTheSummer,58.481,Dylanbro,2021-08-11
CTF-BT-Innovateng-V2,01:17.559,~DarK~JoJo~,2024-03-22
CTF-BT-InsaneSlide-EZ-dbl,03.960,Nightwolf`,2017-12-18
CTF-BT-InsaneSlide-HV,08.603,kleps,2021-06-12
CTF-BT-InsecureCB,01:16.411,Nightwolf`,2017-02-10
CTF-BT-Inside,55.269,Dylanbro,2012-03-25
CTF-BT-InsideEarth-fix,01:54.853,Nightwolf`,2021-10-21
CTF-BT-Insidious-v2,01:12.726,Nightwolf`,2013-06-17
CTF-BT-InsomniaEZ-FE101,01:14.494,BlueBalls,2023-01-31
CTF-BT-InsomniaHV,01:26.378,BlueBalls,2023-01-31
CTF-BT-InsufficientFactory,57.915,fierd_6,2012-08-21
CTF-BT-Intensity,01:29.075,Nightwolf`,2014-02-03
CTF-BT-Interaction,01:30.031,Dylanbro,2017-08-02
CTF-BT-Interscope-v2,01:25.010,Dylanbro,2011-05-22
CTF-BT-IntertwinedV3,02:26.762,Nightwolf`,2022-04-18
CTF-BT-InTheBlock,25.315,}ElitE{Bon,2017-06-07
CTF-BT-InTheCanyon-v2,45.784,Nightwolf`,2013-06-17
CTF-BT-Iron_v3,01:31.465,p-a-w-e-l,2021-09-21
CTF-BT-IronCastle-fix,01:28.162,Nightwolf`,2022-04-27
CTF-BT-Island_Night,29.043,Dylanbro,2022-03-10
CTF-BT-Ismail-owns-vF1,31.430,Nightwolf`,2022-12-31
CTF-BT-Ithika,03:07.430,specialone*,2022-03-14
CTF-BT-Its2Easy-v2,20.600,}ElitE{HellFire`,2016-12-31
CTF-BT-itsadam1stmap-v4,01:25.324,}ElitE{HellFire`,2020-10-31
CTF-BT-IztacTemple][v2,02:14.979,Nightwolf`,2022-04-24
CTF-BT-IztacTempleV3,01:54.813,Dylanbro,2022-03-25
CTF-BT-JaXx-FIX2,02:09.672,Nightwolf`,2014-01-21
CTF-BT-Jereth(censored),33.363,Nightwolf`,2015-12-12
CTF-BT-Jesse-v2,53.563,Dylanbro,2017-12-03
CTF-BT-Jigga,01:18.899,Dylanbro,2018-01-13
CTF-BT-Jihan'sEscape_fix3,01:26.346,OwYeaW,2017-04-03
CTF-BT-JmX-Castlevania,02:10.793,fierd_6,2017-03-26
CTF-BT-JoMaX-vMP,02:10.032,Dylanbro,2010-07-12
CTF-BT-Jump-U-Noob,02:46.963,Dylanbro,2022-11-01
CTF-BT-JumpRush,28.679,}ElitE{Bon,2020-08-03
CTF-BT-JUMPY-death-dbl,52.440,Dylanbro,2021-06-12
CTF-BT-JunctureV4,01:37.955,}ElitE{Bon,2021-11-14
CTF-BT-JungleRush08,18.562,Nightwolf`,2022-03-14
CTF-BT-JungleRush16v2,22.618,Nightwolf`,2022-03-09
CTF-BT-Justabtmap-v1,01:14.713,|bc|chekz_=],2021-11-08
CTF-BT-JustRush_v2,58.727,}ElitE{Bon,2021-07-22
CTF-BT-K-Kripled_vF,50.309,Dylanbro,2014-02-01
CTF-BT-K1rak1sy0-fix,06:39.059,p-a-w-e-l,2020-07-17
CTF-BT-Kadro,02:41.244,Dylanbro,2011-12-11
CTF-BT-Kajka,35.943,}ElitE{Bon,2022-10-12
CTF-BT-KaPLaNsJungleCB,01:11.768,fierd_3,2011-01-02
CTF-BT-KatanaCastle-v2,01:31.816,Nightwolf`,2021-05-22
CTF-BT-Katrix,18.410,Nightwolf`,2022-03-14
CTF-BT-KcirevaM,01:24.040,BlueBalls,2022-06-18
CTF-BT-KeepV2,01:19.512,~DarK~JoJo~,2025-06-15
CTF-BT-Kev_v1,01:06.477,}ElitE{Mike`,2020-10-29
CTF-BT-KG-Ascend,24.883,}ElitE{Bon,2020-06-13
CTF-BT-KG-BlocksV2,14.104,BlueBalls,2023-02-22
CTF-BT-KG-CloudRush,42.598,*WeeDy*,2020-03-15
CTF-BT-KG-ColourfulParadise-v2,39.762,*WeeDy*,2022-03-11
CTF-BT-KG-Easy-but-long-v2,03:26.173,BlueBalls,2022-01-25
CTF-BT-KG-Galvanize,01:55.390,Nightwolf`,2022-03-16
CTF-BT-KG-HorusV3,25.807,dEviL^-,2024-01-21
CTF-BT-KG-HourRush,11.689,*WeeDy*,2021-06-18
CTF-BT-KG-Hyperspace,30.494,dEviL^-,2024-09-05
CTF-BT-KG-HyperV4,53.482,}ElitE{Bon,2020-08-28
CTF-BT-KG-IconV3,01:06.238,NuLL,2020-05-19
CTF-BT-KG-Rapidv2,12.400,*WeeDy*,2022-03-21
CTF-BT-KG-Shift,49.446,*WeeDy*,2022-02-06
CTF-BT-KG-Sighco,52.155,dEviL^-,2023-10-22
CTF-BT-KG-SilentRunning,29.638,dEviL^-,2023-10-22
CTF-BT-KG-Toxic,51.308,}ElitE{Bon,2020-06-13
CTF-BT-KG-Zaerial-V2,51.776,BlueBalls,2023-02-06
CTF-BT-Khonshu,01:55.581,~DarK~JoJo~,2025-10-25
CTF-BT-KidbullsFire,01:43.869,Nightwolf`,2022-05-11
CTF-BT-KidbullsMine_dbl,01:50.996,Nightwolf`,2014-05-23
CTF-BT-KidSpeed-fixed,34.976,Nightwolf`,2012-10-13
CTF-BT-KingsLaundry-fix,20.603,}ElitE{HellFire`,2017-10-11
CTF-BT-Kit-dbl,33.418,Nightwolf`,2022-03-21
CTF-BT-KittyCornerV2,51.697,Dylanbro,2017-08-16
CTF-BT-Kman,10:36.548,Dylanbro,2021-09-02
CTF-BT-KnighTfarE][-v2,02:40.448,}ElitE{Bon,2013-06-16
CTF-BT-KnighTmare][-vF,02:21.898,}ElitE{HellFire`,2022-10-17
CTF-BT-KnighTs-Curse][,02:18.882,Nightwolf`,2022-05-03
CTF-BT-KnighTs-Lab1134,02:08.567,Dylanbro,2012-09-11
CTF-BT-Kokaina-vF,01:53.141,}ElitE{Bon,2020-05-04
CTF-BT-Krako-v2,34.124,}ElitE{HellFire`,2022-09-05
CTF-BT-Krall-Fortress-V2,02:16.352,Nightwolf`,2022-04-05
CTF-BT-krank,02:03.765,TDN-Berserker,2020-01-26
CTF-BT-Krypton,01:29.116,OwYeaW,2021-05-16
CTF-BT-l0s3r,40.458,Dylanbro,2012-08-25
CTF-BT-Laboratory777,01:26.817,p-a-w-e-l,2021-09-20
CTF-BT-LaboratoryX-V2,54.669,Dylanbro,2012-06-22
CTF-BT-LaboratoryX2V1,01:19.291,Nightwolf`,2015-02-11
CTF-BT-LAGacy-V2,01:10.407,Nightwolf`,2014-05-22
CTF-BT-Lampv4_fix,42.762,}ElitE{HellFire`,2022-09-16
CTF-BT-LAN2,53.249,Nightwolf`,2014-10-05
CTF-BT-Lanayru-v3,02:34.312,}ElitE{Bon,2021-05-27
CTF-BT-LandofSecrets-v2,01:58.552,Nightwolf`,2017-11-20
CTF-BT-Langres,14.144,Nightwolf`,2022-03-29
CTF-BT-LaserComplex_v3,01:03.852,fierd_3,2011-11-25
CTF-BT-LastFrontier,02:04.670,TDN-Berserker,2019-12-14
CTF-BT-LastHour,01:02.114,~DarK~JoJo~,2026-03-09
CTF-BT-Lava,47.151,}ElitE{HellFire`,2021-08-22
CTF-BT-Lava-Tea-Party-v3,02:33.836,Dylanbro,2013-05-17
CTF-BT-LavaCastle,47.528,Dylanbro,2022-03-17
CTF-BT-LavaCaves-dbl,23.029,Dylanbro,2021-07-09
CTF-BT-LavaFactory2b,42.211,~DarK~JoJo~,2026-02-19
CTF-BT-LavaFactory_TURBO-EDITION,25.798,*WeeDy*,2021-07-02
CTF-BT-LaVaFlame,01:11.648,}ElitE{Bon,2013-06-22
CTF-BT-LavaPits-v2b,28.439,Nightwolf`,2023-01-04
CTF-BT-LavaRush,49.264,BlueBalls,2022-01-06
CTF-BT-LAZY-fix,23.395,}ElitE{HellFire`,2015-12-04
CTF-BT-Leaf_dbl,49.554,~DarK~JoJo~,2024-03-19
CTF-BT-LedgeV2,01:22.717,BlueBalls,2022-05-23
CTF-BT-Legacy-v2,01:01.872,Dylanbro,2011-03-17
CTF-BT-Legal-fix,01:55.942,BlueBalls,2021-11-06
CTF-BT-Lego_fix,58.881,Dylanbro,2017-01-28
CTF-BT-LegoCorridor,01:15.633,p-a-w-e-l,2021-09-20
CTF-BT-LegoFortress,01:50.371,}ElitE{Bon,2021-12-31
CTF-BT-LegoShit][-v2,19.515,Nightwolf`,2022-10-09
CTF-BT-LegoSolitude-vF,53.914,Nightwolf`,2012-10-20
CTF-BT-LemonSqueezie,48.713,}ElitE{Mike`,2022-10-12
CTF-BT-LethalSunCB2,03:45.899,Dylanbro,2021-04-21
CTF-BT-LEVEL7,04.252,}ElitE{HellFire`,2022-09-11
CTF-BT-Library_fix,55.883,Nightwolf`,2014-10-17
CTF-BT-LightRush,47.476,}ElitE{Mike`,2020-09-17
CTF-BT-Limit,01:45.688,Nightwolf`,2022-04-02
CTF-BT-Linear,55.378,fierd_3,2012-11-21
CTF-BT-Link's_Odyssey_V02,01:14.508,}ElitE{cRuNcHeR,2012-01-16
CTF-BT-LiPpYsFoReSt][,01:55.808,Dylanbro,2013-11-09
CTF-BT-LittleAndEasy-dbl,36.074,Dylanbro,2021-10-24
CTF-BT-LittleCastle-v3,48.259,OwYeaW,2017-03-13
CTF-BT-LizMikeKevTimChris-v1,01:00.755,~DarK~JoJo~,2025-01-27
CTF-BT-LLLLLLLL-fix,01:41.786,Dylanbro,2017-06-28
CTF-BT-LMAA,01:00.015,Nightwolf`,2022-03-09
CTF-BT-LMAO-fix,26.617,}ElitE{HellFire`,2021-08-02
CTF-BT-LoboTommys-dbl,03.501,Nightwolf`,2021-11-05
CTF-BT-Lockdown-fix,01:16.184,BlueBalls,2022-01-23
CTF-BT-Long,01:42.562,Nightwolf`,2013-12-29
CTF-BT-LongRemake,02:00.926,~DarK~JoJo~,2026-01-20
CTF-BT-Loop-dbl,02:26.201,Nightwolf`,2022-04-03
CTF-BT-LostInSpace,01:33.563,p-a-w-e-l,2021-09-05
CTF-BT-LostTemple,02:34.199,}ElitE{Bon,2017-12-26
CTF-BT-LostTownCB,55.763,}ElitE{HellFire`,2022-10-26
CTF-BT-LostV2-FIX,01:32.645,}ElitE{HellFire`,2020-09-09
CTF-BT-Love-SE2,01:22.906,~DarK~JoJo~,2026-03-09
CTF-BT-LowGravity_i4g,03:39.322,~DarK~JoJo~,2025-02-04
CTF-BT-LuLaLu,20.194,}ElitE{Bon,2020-09-29
CTF-BT-Lunaria-v3,04:09.170,Nightwolf`,2022-03-18
CTF-BT-LunaTemple,01:30.567,fierd_3,2011-12-06
CTF-BT-Lurid-v2,01:03.553,Dylanbro,2014-11-27
CTF-BT-Lux,01:08.707,Nightwolf`,2014-01-31
CTF-BT-Luxor-v3,55.177,Dylanbro,2012-08-16
CTF-BT-Lysergic-v2,24.960,Dylanbro,2015-12-08
CTF-BT-MA1-DanceBunny-HD,01:13.777,Dylanbro,2021-05-22
CTF-BT-MA1-GameOver-HD,47.012,Nightwolf`,2022-04-19
CTF-BT-MA1-MarioVsGhost-HD,01:17.963,BlueBalls,2022-01-29
CTF-BT-Maara-v3,01:37.331,}ElitE{Bon,2019-12-27
CTF-BT-MacReady][Vol2,32.398,}ElitE{HellFire`,2017-05-21
CTF-BT-MadeInChina,21.637,}ElitE{HellFire`,2016-11-06
CTF-BT-Madrigal-Lv,01:05.154,}ElitE{Bon,2017-12-16
CTF-BT-MagmaquaV1,02:52.802,Nightwolf`,2021-08-25
CTF-BT-Malevolence,55.804,Nightwolf`,2012-10-01
CTF-BT-Malignancy-LE,01:49.473,Nightwolf`,2013-04-15
CTF-BT-MapByAsmo-V2,59.030,~DarK~JoJo~,2024-03-31
CTF-BT-Marceline'sDreams,03:37.327,BlueBalls,2022-02-05
CTF-BT-Marijuana,01:23.470,BlueBalls,2021-11-09
CTF-BT-MarioBros(NV),01:20.576,Nightwolf`,2013-10-13
CTF-BT-MarioBros-SE-,01:39.830,Dylanbro,2022-03-26
CTF-BT-Mausoleum,03:17.299,Nightwolf`,2019-05-24
CTF-BT-MaveReloaded,02:40.044,}ElitE{Bon,2017-06-25
CTF-BT-Maverick,01:10.026,Nightwolf`,2021-08-18
CTF-BT-Maverick2019,01:11.239,Nightwolf`,2021-05-22
CTF-BT-MaverickNoobs,01:13.072,Dylanbro,2012-03-24
CTF-BT-MayanCB,01:07.435,Nightwolf`,2019-05-10
CTF-BT-MazeraDevilsTomb_i4g,37.437,OwYeaW,2016-10-13
CTF-BT-MazonRush-VFfix,01:09.411,Nightwolf`,2021-03-27
CTF-BT-McLoad_fix,02:10.691,}ElitE{Bon,2012-04-06
CTF-BT-MedievalCastle,01:05.326,~DarK~JoJo~,2025-05-09
CTF-BT-Mediocre_nmc,48.877,Nightwolf`,2022-12-28
CTF-BT-Medusa-vF,01:44.402,Nightwolf`,2014-02-05
CTF-BT-MegaNoob_V3,01:31.835,p-a-w-e-l,2021-08-31
CTF-BT-MeggyXD-vLO,27.674,Nightwolf`,2019-06-13
CTF-BT-Meltdown_fix,01:26.218,Nightwolf`,2022-05-02
CTF-BT-Mentality-v1,58.978,}ElitE{Bon,2020-11-09
CTF-BT-Merdos-HV,05.796,fierd_6,2016-06-21
CTF-BT-MerryChristmas2015,30.657,}ElitE{Mike`,2023-03-04
CTF-BT-MerryChristmas2016,57.975,~DarK~JoJo~,2025-06-05
CTF-BT-MerryChristmas2024v2,02:27.456,~DarK~JoJo~,2025-03-25
CTF-BT-MetalComplex,02:07.902,}ElitE{Bon,2021-07-21
CTF-BT-MetalFacility_i4g-vF2,01:38.610,Nightwolf`,2014-10-18
CTF-BT-metalmadness-final,38.254,Nightwolf`,2014-03-18
CTF-BT-Meteora,01:23.404,Nightwolf`,2021-08-23
CTF-BT-MidnightUtopia-VF,01:16.258,~DarK~JoJo~,2025-05-08
CTF-BT-Miners-Burddon_fix,48.165,}ElitE{HellFire`,2022-10-08
CTF-BT-MiningFacility,01:27.755,Dylanbro,2016-01-21
CTF-BT-MinskPocketV2,29.992,Nightwolf`,2022-10-09
CTF-BT-MirrorsOfPanda-v3,40.047,Nightwolf`,2017-06-17
CTF-BT-Mix-longv1,05:33.222,~DarK~JoJo~,2025-06-13
CTF-BT-MMIComplete-v2,01:12.031,Dylanbro,2013-03-03
CTF-BT-MoJoJoJo_i4g,49.984,~DarK~JoJo~,2026-02-25
CTF-BT-Monopoly,53.372,fierd_6,2012-06-13
CTF-BT-MonsterFactory-fix,01:02.079,~DarK~JoJo~,2026-05-16
CTF-BT-MontargisRegion,57.382,~DarK~JoJo~,2026-04-17
CTF-BT-Moon,28.560,Dylanbro,2017-06-17
CTF-BT-mordor,39.845,TDN-Berserker,2020-01-08
CTF-BT-MorningGround,44.845,Nightwolf`,2012-10-09
CTF-BT-Morphium-v4,01:33.218,Nightwolf`,2022-04-17
CTF-BT-MosquitoPalace-fix,46.476,Nightwolf`,2017-01-08
CTF-BT-Movable_vF,53.935,p-a-w-e-l,2021-09-02
CTF-BT-MovingColors-v2,59.994,Dylanbro,2017-08-02
CTF-BT-Multiple,25.124,}ElitE{HellFire`,2017-06-25
CTF-BT-Mundec,01:43.411,Nightwolf`,2013-10-18
CTF-BT-MyBadMap-I4G,39.624,Nightwolf`,2019-05-10
CTF-BT-MyConsole-v3,22.944,Nightwolf`,2017-11-22
CTF-BT-N00bWarmUp-dbl,35.242,Dylanbro,2017-12-13
CTF-BT-NA[alpha]-dbl,40.504,Nightwolf`,2015-12-12
CTF-BT-NaabLand,46.037,Dylanbro,2012-06-05
CTF-BT-naja,01:48.671,Nightwolf`,2022-04-10
CTF-BT-Nali-temple-vF,01:31.274,Dylanbro,2021-10-31
CTF-BT-NaliCrypt][,43.279,Nightwolf`,2017-06-14
CTF-BT-NaliRealm,01:23.948,BlueBalls,2022-09-06
CTF-BT-NaliSurfin-EZ-fix,16.343,~DarK~JoJo~,2026-03-10
CTF-BT-Nameless-fix,44.449,}ElitE{Mike`,2020-10-14
CTF-BT-NaPaliLands-v2,01:30.734,}ElitE{HellFire`,2020-07-31
CTF-BT-Napalioutside,01:22.296,Dylanbro,2021-10-31
CTF-BT-Navarette-v2b,01:24.948,Nightwolf`,2014-12-06
CTF-BT-Nebula-v2,43.723,Dylanbro,2011-11-28
CTF-BT-Need2Speed-fix,17.391,}ElitE{Bon,2022-02-18
CTF-BT-NerverOfSteel,41.701,Dylanbro,2021-08-21
CTF-BT-NeverEndingRushing,03.301,Nightwolf`,2016-10-19
CTF-BT-Neverland,55.375,~DarK~JoJo~,2025-01-21
CTF-BT-Nevermore-v2,01:12.202,~DarK~JoJo~,2026-05-16
CTF-BT-NewMapOn!-vF3,01:05.793,}ElitE{Mike`,2022-10-11
CTF-BT-NightFall-V2,03:40.664,Nightwolf`,2013-05-12
CTF-BT-Nightfall][,03:34.772,Nightwolf`,2022-05-12
CTF-BT-NightFall][-EZ,03:02.773,Nightwolf`,2022-04-03
CTF-BT-NightRush,11.750,BlueBalls,2022-05-20
CTF-BT-NightTime-fix,39.375,Nightwolf`,2021-09-01
CTF-BT-NinaCastle_i4g,01:58.933,fierd_1,2014-10-04
CTF-BT-Ninja-jo,01:01.634,Nightwolf`,2012-09-22
CTF-BT-Nipperkin-v2,47.535,Dylanbro,2014-01-30
CTF-BT-NLRM,40.512,Dylanbro,2022-10-08
CTF-BT-NLRM-5-fix1,01:03.670,Nightwolf`,2022-04-25
CTF-BT-NLRM-Final,01:39.540,Nightwolf`,2014-03-20
CTF-BT-NLRM_2,51.305,Nightwolf`,2022-10-06
CTF-BT-NLRM_3-vF,29.614,*WeeDy*,2022-03-12
CTF-BT-NLRM_4,01:28.562,Nightwolf`,2022-04-25
CTF-BT-NMM,01:20.165,fierd_3,2013-06-02
CTF-BT-NonEmphatic][,19.535,Dylanbro,2021-07-31
CTF-BT-NOOB-CF,01:23.689,~DarK~JoJo~,2024-03-27
CTF-BT-NoobLand2020,16.529,Nightwolf`,2021-03-27
CTF-BT-Noobs-R-Us][_fix,01:18.046,~DarK~JoJo~,2026-01-19
CTF-BT-November-dbl,01:03.055,~DarK~JoJo~,2025-01-27
CTF-BT-Novice_nmc,49.265,Dylanbro,2012-11-26
CTF-BT-NR,01:45.180,}ElitE{Bon,2021-09-06
CTF-BT-NSMFactoryV2,57.888,fierd_6,2017-05-07
CTF-BT-NuLLed-vf3,01:17.415,BlueBalls,2021-11-06
CTF-BT-Nuts2k9,01:33.450,~DarK~JoJo~,2026-01-20
CTF-BT-NuttyRush,10.540,Dylanbro,2021-03-19
CTF-BT-Ocarina_of_Time(EZ),05:03.678,fierd_3,2011-01-08
CTF-BT-Ocarina_of_Time(HV),05:11.222,fierd_3,2011-08-03
