map,record,member,date
CTF-BT+(CN)NineEleven,03:22.526,}ElitE{Mike`,2009-03-30
CTF-BT+(CN)NineEleven-EZ,03:21.796,}ElitE{Mike`,2009-03-30
CTF-BT+(CN)Oufti,04:12.161,}ElitE{Bon,2009-08-03
CTF-BT+(CN)Oufti-EZ,04:14.885,p-a-w-e-l,2021-08-25
CTF-BT+(CN)Pacman-v4,39.437,p-a-w-e-l,2021-07-01
CTF-BT+(CN)Paintings-v2,01:11.869,p-a-w-e-l,2021-09-11
CTF-BT+(CN)PrettyUseless,03:09.693,}ElitE{Bon,2011-07-11
CTF-BT+(CN)ReachTheStars-v3,03:44.919,OwYeaW,2016-06-30
CTF-BT+(CN)SixteenYards-EZ,08:30.146,Nightwolf`,2023-01-03
CTF-BT+(CN)SixteenYards-v2,11:18.803,}ElitE{Bon,2010-10-10
CTF-BT+(CN)SmartBunny,05:28.982,<Krad.pX4,2020-05-31
CTF-BT+(CN)SmartBunny-EZ-SE,05:12.569,<Krad.pX4,2020-06-03
CTF-BT+(CN)Stakhanovism-v3,04:06.753,p-a-w-e-l,2021-09-22
CTF-BT+(CN)Stargate-SG1-vF,08:02.176,artur509,2023-04-09
CTF-BT+(CN)TitanCrest-v3,03:10.821,OwYeaW,2017-01-22
CTF-BT+(CN)Troglodytic,01:49.249,fierd_1,2014-11-01
CTF-BT+(CN)Troudbal,43.952,Nightwolf`,2014-10-04
CTF-BT+(CN)Undoubtably,01:20.854,Nightwolf`,2014-02-04
CTF-BT+(CN)Vesuvio-v2,01:06.369,BlueBalls,2021-12-31
CTF-BT+(CN)WhatLiesBelow-v3,04:01.654,BlueBalls,2022-01-26
CTF-BT+(Cobra)KeyKillers-EZ,01:50.552,Nightwolf`,2014-10-21
CTF-BT+(Cobra)KeyKillers-HV-v3,01:53.604,Nightwolf`,2014-10-21
CTF-BT+(Cyb)CyberJungle,01:57.142,Dylanbro,2012-04-03
CTF-BT+(Cyb)CyberNerd-vF,02:57.260,Nightwolf`,2014-02-04
CTF-BT+(Cyb)The_Light,04:07.818,Nightwolf`,2012-09-22
CTF-BT+(dem)Skillz,01:58.886,}ElitE{Bon,2010-10-08
CTF-BT+(DJ)Fragment14_v2,03:07.972,~DarK~JoJo~,2026-03-17
